"league","season","player_name","player_position","Age","league_2","transfer_fee","window","Mins_Per_90","Gls_Standard","Sh_Standard","SoT_Standard","SoT_percent_Standard","SoT_per_90_Standard","G_per_SoT_Standard","xG_Expected","G_minus_xG_Expected","Tkl_Tackles","TklW_Tackles","Tkl_Challenges","Tkl_percent_Challenges","Lost_Challenges","Sh_Blocks","Pass_Blocks","Int","Tkl.Int","Clr","Err","Cmp_Total","Att_Total","Cmp_percent_Total","Ast","xAG","xA_Expected","A_minus_xAG_Expected"
"Serie A",2021,"Olivier Giroud","Forward",33,"Premier League",2850000,"Summer",8.3,4,29,10,34.5,1.2,0.4,4.2,-0.2,4,2,1,14.3,6,1,3,5,9,10,0,157,223,70.4,0,1.1,0.3,-1.1
"Serie A",2021,"Tammy Abraham","Forward",22,"Premier League",4.1e+07,"Summer",11.6,6,32,13,40.6,1.13,0.46,5.9,0.1,7,5,1,14.3,6,0,6,5,12,17,0,149,211,70.6,1,0.7,0.2,0.3
"Serie A",2021,"Eldor Shomurodov","Forward",25,"Serie A",1.8e+07,"Summer",18.6,8,39,17,43.6,0.91,0.47,5.7,2.3,28,14,9,24.3,28,2,15,6,34,11,0,329,483,68.1,1,1.9,1.2,-0.9
"Serie A",2021,"Nicolas Gonzalez","Forward",22,"Bundesliga",24500000,"Summer",10.4,6,45,9,20,0.87,0.33,7.4,-1.4,5,5,0,0,6,3,7,4,9,6,0,147,243,60.5,2,2,1.1,0
"Serie A",2021,"Jonathan Ikone","Forward",22,"Ligue 1",15400000,"Winter",24.2,4,46,11,23.9,0.45,0.27,4.3,-0.3,18,12,9,40.9,13,1,15,7,25,9,0,608,760,80,5,2.9,2.1,2.1
"Serie A",2021,"Toma Basic","Midfielder",23,"Ligue 1",7100000,"Summer",28.9,4,45,17,37.8,0.59,0.24,4.6,-0.6,33,22,16,27.6,42,5,16,32,65,42,1,1048,1289,81.3,1,2.5,2.2,-1.5
"Serie A",2021,"Kevin Lasagna","Forward",27,"Serie A",6500000,"Summer",12.3,2,41,12,29.3,0.98,0.17,7.4,-5.4,6,1,3,21.4,11,0,11,6,12,7,0,144,212,67.9,1,1,0.8,0
"Serie A",2021,"Brandon Soppy","Midfielder",18,"Ligue 1",2e+06,"Summer",6.2,0,5,1,20,0.16,0,0.2,-0.2,21,15,10,62.5,6,0,3,6,27,12,0,321,407,78.9,0,0.2,0.8,-0.2
"Serie A",2021,"Lorenzo Tonelli","Defender",30,"Serie A",2400000,"Summer",19.8,1,13,2,15.4,0.1,0.5,2,-1,33,18,10,47.6,11,14,7,25,58,94,1,742,913,81.3,0,0,0.1,0
"Serie A",2021,"Ardian Ismajli","Defender",23,"Serie A",2e+06,"Summer",14.4,1,6,1,16.7,0.07,1,0.7,0.3,19,9,8,61.5,5,7,3,23,42,52,1,639,737,86.7,1,0.6,0.1,0.4
"Serie A",2021,"Abdoulaye Toure","Midfielder",26,"Ligue 1",3500000,"Summer",18.7,2,26,4,15.4,0.21,0.25,2.6,-0.6,28,12,14,45.2,17,2,15,22,50,19,0,799,946,84.5,2,1.4,1.2,0.6
