"league","season","player_name","player_position","Age","league_2","transfer_fee","window","Mins_Per_90","Gls_Standard","Sh_Standard","SoT_Standard","SoT_percent_Standard","SoT_per_90_Standard","G_per_SoT_Standard","xG_Expected","G_minus_xG_Expected","Tkl_Tackles","TklW_Tackles","Tkl_Challenges","Tkl_percent_Challenges","Lost_Challenges","Sh_Blocks","Pass_Blocks","Int","Tkl.Int","Clr","Err","Cmp_Total","Att_Total","Cmp_percent_Total","Ast","xAG","xA_Expected","A_minus_xAG_Expected"
"Bundesliga",2019,"Anthony Ujah","Forward",27,"Bundesliga",2e+06,"Summer",8.2,4,27,12,44.4,1.47,0.33,4.2,-0.2,2,0,1,50,1,2,5,1,3,10,0,116,181,64.1,0,2.1,1,-2.1
"Bundesliga",2020,"Bouna Sarr","Defender",27,"Ligue 1",8e+06,"Summer",24,1,28,4,14.3,0.17,0.25,2.4,-1.4,60,37,30,56.6,23,1,16,32,92,38,0,1092,1357,80.5,3,1.8,2.1,1.2
"Bundesliga",2020,"Emre Can","Midfielder",25,"Serie A",2.5e+07,"Summer",3.2,0,7,2,28.6,0.63,0,1.2,-1.2,10,7,3,30,7,0,4,2,12,3,0,143,162,88.3,0,0.1,0.2,-0.1
"Bundesliga",2020,"Demarai Gray","Forward",23,"Premier League",2e+06,"Winter",6.9,2,22,7,31.8,1.01,0.29,2.8,-0.8,12,6,6,50,6,0,7,5,17,4,0,265,327,81,3,2.1,2.1,0.9
"Bundesliga",2020,"Steven Zuber","Forward",27,"Bundesliga",3e+06,"Summer",8.3,2,9,2,22.2,0.24,1,1.5,0.5,11,10,9,47.4,10,1,3,9,20,12,0,339,418,81.1,0,0.3,0.4,-0.3
"Bundesliga",2020,"Ridle Baku","Defender",21,"Bundesliga",1e+07,"Summer",26.1,1,22,6,27.3,0.23,0.17,1,0,54,31,26,49.1,27,7,38,42,96,57,0,827,1167,70.9,3,3.4,4.1,-0.4
"Bundesliga",2020,"Mijat Gacinovic","Midfielder",24,"Bundesliga",3e+06,"Summer",11.6,0,25,7,28,0.6,0,3.1,-3.1,19,11,6,24,19,2,24,15,34,6,0,249,359,69.4,1,1.4,1,-0.4
"Bundesliga",2020,"Baptiste Santamaria","Midfielder",24,"Ligue 1",1e+07,"Summer",27.8,1,35,11,31.4,0.4,0.09,1.6,-0.6,91,53,35,44.3,44,5,22,43,134,36,0,1079,1337,80.7,1,1.4,1.6,-0.4
"Bundesliga",2020,"Ondrej Duda","Midfielder",24,"Bundesliga",7e+06,"Summer",5,0,7,5,71.4,1.01,0,0.5,-0.5,6,4,1,10,9,1,2,5,11,5,0,144,187,77,1,0.3,0.4,0.7
"Bundesliga",2020,"Sebastian Andersson","Forward",28,"Bundesliga",6500000,"Summer",29.8,12,63,35,55.6,1.17,0.31,11.9,0.1,20,10,4,21.1,15,3,16,5,25,36,0,463,800,57.9,1,1.9,1.5,-0.9
"Bundesliga",2021,"Dayot Upamecano","Defender",21,"Bundesliga",42500000,"Summer",25.9,1,14,5,35.7,0.19,0.2,1.3,-0.3,37,30,14,70,6,14,11,33,70,74,2,1953,2216,88.1,0,0.6,1.3,-0.6
"Bundesliga",2021,"Marcel Sabitzer","Midfielder",26,"Bundesliga",1.5e+07,"Summer",22.5,8,56,22,39.3,0.98,0.18,7.6,0.4,29,21,12,32.4,25,2,5,35,64,27,0,1051,1344,78.2,3,2.7,3.6,0.3
"Bundesliga",2021,"Andre Silva","Forward",24,"Bundesliga",2.3e+07,"Summer",30.7,28,110,53,48.2,1.73,0.4,25.6,2.4,11,2,6,46.2,7,1,10,3,14,15,0,561,774,72.5,7,4.7,4.9,2.3
"Bundesliga",2021,"Mohamed Simakan","Defender",20,"Ligue 1",1.5e+07,"Summer",17.9,1,14,4,28.6,0.22,0.25,1.3,-0.3,32,22,9,50,9,11,6,31,63,41,0,699,851,82.1,1,0.9,0.9,0.1
"Bundesliga",2021,"Mitchel Bakker","Midfielder",20,"Ligue 1",7e+06,"Summer",18.8,0,2,2,100,0.11,0,0.3,-0.3,38,30,17,65.4,9,2,20,22,60,20,0,1177,1334,88.2,2,1.9,2.4,0.1
"Bundesliga",2021,"Robert Andrich","Midfielder",25,"Bundesliga",6500000,"Summer",28.1,5,41,9,22,0.32,0.56,2.6,2.4,51,24,24,45.3,29,6,34,51,102,31,2,1127,1442,78.2,2,2,2.4,0
"Bundesliga",2021,"Sebastiaan Bornauw","Defender",21,"Bundesliga",13500000,"Summer",23.1,1,18,5,27.8,0.22,0.2,1.5,-0.5,29,20,14,56,11,26,7,40,69,104,0,752,922,81.6,1,0,0.1,1
"Bundesliga",2021,"Max Kruse","Forward",32,"Bundesliga",5e+06,"Winter",18.1,11,24,13,54.2,0.72,0.46,6.8,4.2,7,3,2,22.2,7,0,11,3,10,3,0,567,765,74.1,5,4.2,3.3,0.8
"Bundesliga",2021,"Luca Netz","Defender",17,"Bundesliga",2e+06,"Summer",3.4,1,2,1,50,0.29,1,0.7,0.3,14,8,6,35.3,11,0,3,6,20,8,0,126,165,76.4,0,0.1,0.2,-0.1
"Bundesliga",2021,"Marvin Friedrich","Defender",24,"Bundesliga",5500000,"Winter",34,5,25,6,24,0.18,0.83,1.6,3.4,47,29,18,56.3,14,18,20,52,99,109,0,1443,1827,79,2,2.5,1.4,-0.5
"2. Bundesliga",2021,"Marco Richter","Midfielder",22,"Bundesliga",7100000,"Summer",15.7,3,55,19,34.5,1.21,0.16,5.1,-2.1,17,9,7,30.4,16,0,10,6,23,9,0,279,480,58.1,1,1.7,1.5,-0.7
"2. Bundesliga",2021,"Myziane Maolida","Forward",21,"Ligue 1",4e+06,"Summer",12,3,19,4,21.1,0.33,0.75,2.2,0.8,13,8,4,36.4,7,1,5,6,19,4,0,266,365,72.9,1,1.9,1.9,-0.9
"Bundesliga",2022,"Matthijs de Ligt","Defender",21,"Serie A",6.7e+07,"Summer",29.7,3,20,10,50,0.34,0.3,1.6,1.4,34,19,15,83.3,3,21,10,26,60,103,0,1510,1704,88.6,1,1,1.1,0
"Bundesliga",2022,"Sadio Mane","Forward",29,"Premier League",3.2e+07,"Summer",31.3,16,98,37,37.8,1.18,0.43,17.2,-1.2,33,20,8,30.8,18,1,29,8,41,15,0,818,1100,74.4,2,5.2,4.4,-3.2
"Bundesliga",2022,"Nico Schlotterbeck","Defender",21,"Bundesliga",2e+07,"Summer",30.9,4,36,16,44.4,0.52,0.25,3.6,0.4,72,43,33,68.8,15,32,9,56,128,154,1,1403,1750,80.2,1,1.5,2.3,-0.5
"Bundesliga",2022,"Anthony Modeste","Forward",33,"Bundesliga",5100000,"Summer",29,20,106,43,40.6,1.49,0.44,18,2,10,6,3,16.7,15,2,9,4,14,29,0,289,450,64.2,4,2.9,2.3,1.1
"Bundesliga",2022,"Salih Ozcan","Midfielder",23,"Bundesliga",5e+06,"Summer",25.7,2,27,6,22.2,0.23,0.33,1.9,0.1,42,30,22,43.1,29,5,32,51,93,35,1,1128,1360,82.9,0,1,1.9,-1
"Bundesliga",2022,"Julian Ryerson","Defender",23,"Bundesliga",5e+06,"Winter",15.9,2,17,6,35.3,0.38,0.33,1.3,0.7,27,15,17,68,8,4,8,16,43,32,0,482,650,74.2,0,1.5,1.5,-1.5
"Bundesliga",2022,"David Raum","Defender",23,"Bundesliga",2.6e+07,"Summer",30.6,3,25,8,32,0.26,0.38,1.7,1.3,52,29,30,46.9,34,5,33,27,79,39,1,1463,2003,73,11,11.4,13.9,-0.4
"Bundesliga",2022,"Timo Werner","Forward",25,"Premier League",2e+07,"Summer",14.3,4,45,16,35.6,1.12,0.25,6.8,-2.8,8,4,2,10,18,0,9,2,10,4,0,297,402,73.9,1,0.3,0.8,0.7
"Bundesliga",2022,"Xaver Schlager","Midfielder",23,"Bundesliga",1.2e+07,"Summer",11.6,0,10,1,10,0.09,0,0.3,-0.3,43,20,20,40.8,29,2,23,9,52,14,0,319,422,75.6,1,0.6,0.6,0.4
"Bundesliga",2022,"Lucas Alario","Forward",28,"Bundesliga",6e+06,"Summer",7.3,6,22,13,59.1,1.79,0.46,6,0,6,5,2,40,3,0,5,1,7,6,0,115,171,67.3,0,1,1.5,-1
"Bundesliga",2022,"Mattias Svanberg","Midfielder",22,"Serie A",9500000,"Summer",28.5,3,39,13,33.3,0.46,0.23,2.1,0.9,39,15,16,29.6,38,9,22,28,67,34,0,766,1037,73.9,3,2.8,2.3,0.2
"Bundesliga",2022,"Morten Thorsby","Midfielder",25,"Serie A",3e+06,"Summer",32.7,3,26,7,26.9,0.21,0.43,3.2,-0.2,46,26,28,50,28,12,25,25,71,39,0,705,992,71.1,1,1.1,1.6,-0.1
"Bundesliga",2022,"Genki Haraguchi","Midfielder",30,"Bundesliga",1e+06,"Winter",19.5,2,29,6,20.7,0.31,0.33,2.1,-0.1,37,20,15,31.3,33,3,22,26,63,15,0,395,546,72.3,6,1.6,1.2,4.4
"Bundesliga",2022,"Angelo Fulgini","Midfielder",24,"Ligue 1",6e+06,"Summer",32.5,5,58,17,29.3,0.52,0.29,5.8,-0.8,35,25,14,31.8,30,5,16,22,57,5,1,1108,1376,80.5,4,4,3.1,0
"Bundesliga",2022,"Maxim Leitsch","Defender",23,"Bundesliga",3500000,"Summer",17.1,1,5,1,20,0.06,1,1.1,-0.1,18,10,10,66.7,5,19,12,31,49,74,1,685,835,82,0,0.5,0.2,-0.5
"Bundesliga",2022,"Ludovic Ajorque","Forward",27,"Ligue 1",6e+06,"Winter",30.4,12,56,24,42.9,0.79,0.38,10.6,1.4,36,25,7,17.5,33,3,25,8,44,31,1,653,906,72.1,8,7,4,1
"Bundesliga",2022,"Sargis Adamyan","Forward",28,"Bundesliga",1500000,"Summer",3.7,1,3,2,66.7,0.54,0.5,0.7,0.3,8,6,3,27.3,8,0,4,1,9,2,0,73,101,72.3,0,0.5,0.5,-0.5
"Bundesliga",2022,"Steffen Tigges","Forward",23,"Bundesliga",1500000,"Summer",1.2,3,4,3,75,2.41,1,1.1,1.9,4,3,2,66.7,1,1,2,0,4,3,0,22,40,55,0,0.4,0.3,-0.4
"2. Bundesliga",2022,"Sebastian Polter","Forward",30,"Bundesliga",1500000,"Summer",26,10,54,21,38.9,0.81,0.43,8.7,1.3,9,3,2,18.2,9,5,10,2,11,24,0,259,489,53,1,2.4,1.4,-1.4
"LaLiga",2019,"Antoine Griezmann","Forward",27,"LaLiga",1.2e+08,"Summer",35.5,15,110,42,38.2,1.18,0.29,13.9,1.1,31,19,8,28.6,20,1,17,12,43,21,0,1123,1510,74.4,8,7.7,7.4,0.3
